ISSN	REVISTA	QUALIS	AREA	OBS
0898-8838	Advances in Inorganic Chemistry (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0939-4451	Amino Acids (Wien. Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0003-2670	Analytica Chimica Acta (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0003-2697	Analytical Biochemistry (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0926-860X	Applied Catalysis. A, General (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0946-2171	Applied Physics. B, Lasers and Optics (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1352-2310	Atmospheric Environment (1994)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0092-640X	Atomic Data and Nuclear Data Tables (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0006-291X	Biochemical and Biophysical Research Communications (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0006-2960	Biochemistry (Easton)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1570-9639	Biochimica et Biophysica Acta. Proteins and Proteomics	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0300-9084	Biochimie (Paris. Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1726-4170	Biogeosciences (Katlenburg-Lindau. Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0966-0844	BioMetals (Oxford)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0968-0896	Bioorganic & Medicinal Chemistry (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0301-4622	Biophysical Chemistry (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0006-3525	Biopolymers (New York. Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0960-8524	Bioresource Technology	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1471-2229	BMC Plant Biology (Online)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0103-9733	Brazilian Journal of Physics (Impresso)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0144-8617	Carbohydrate Polymers	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1566-7367	Catalysis Communications (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0923-2958	Celestial Mechanics & Dynamical Astronomy	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0333-1024	Cephalalgia (Oslo)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1054-1500	Chaos (Woodbury, N.Y.)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1385-8947	Chemical Engineering Journal (1996)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0009-2541	Chemical Geology	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0301-0104	Chemical Physics (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0009-2614	Chemical Physics Letters (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0303-402X	Colloid and Polymer Science (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0927-7765	Colloids and Surfaces. B, Biointerfaces (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1007-5704	Communications in Nonlinear Science & Numerical Simulation	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0010-4655	Computer Physics Communications	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0010-938X	Corrosion Science	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1568-0266	Current Topics in Medicinal Chemistry (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1477-9226	Dalton Transactions (2003. Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0109-5641	Dental Materials	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1568-7864	DNA Repair (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0906-7590	Ecography (Copenhagen)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1040-0397	Electroanalysis (New York, N.Y.)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0013-4686	Electrochimica Acta	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0887-0624	Energy & Fuels (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0013-9580	Epilepsia (Copenhagen)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1535-9778	Eukaryotic Cell	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0175-7571	European Biophysics Journal	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1434-1948	European Journal of Inorganic Chemistry (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
0223-5234	European Journal of Medicinal Chemistry	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
1434-193X	European Journal of Organic Chemistry (Print)	B1	ASTRONOMIA / FÍSICA	Atualizada em 2012
